cand_id,rec_id,job_role,source,score,application,screening,interview,offer,hired
C0001,R4,Software Engineer,LinkedIn,53,1,1,0,0,0
C0002,R3,HR Specialist,Careers page,66,1,0,0,0,0
C0003,R4,Software Engineer,Job board,34,1,0,0,0,0
C0004,R5,Data Analyst,Job board,30,1,0,0,0,0
C0005,R5,HR Specialist,LinkedIn,52,1,1,0,0,0
C0006,R1,HR Specialist,LinkedIn,48,1,1,1,0,0
C0007,R2,HR Specialist,LinkedIn,74,1,1,1,1,0
C0008,R5,Software Engineer,Job board,55,1,1,1,0,0
C0009,R2,Marketing Associate,Job board,42,1,1,0,0,0
C0010,R2,HR Specialist,LinkedIn,66,1,1,1,1,1
C0011,R5,Data Analyst,LinkedIn,65,1,1,0,0,0
C0012,R2,Data Analyst,Careers page,55,1,0,0,0,0
C0013,R3,Data Analyst,LinkedIn,72,1,1,1,0,0
C0014,R2,Data Analyst,Careers page,49,1,1,0,0,0
C0015,R1,Software Engineer,Careers page,48,1,0,0,0,0
C0016,R5,HR Specialist,Careers page,62,1,1,0,0,0
C0017,R4,HR Specialist,LinkedIn,62,1,1,0,0,0
C0018,R1,HR Specialist,LinkedIn,74,1,1,1,0,0
C0019,R4,HR Specialist,Careers page,61,1,1,1,1,0
C0020,R5,Data Analyst,Job board,56,1,1,1,0,0
C0021,R5,Software Engineer,Careers page,62,1,0,0,0,0
C0022,R3,HR Specialist,Careers page,54,1,1,1,1,1
C0023,R3,Software Engineer,Job board,31,1,0,0,0,0
C0024,R5,Data Analyst,LinkedIn,60,1,1,0,0,0
C0025,R3,Data Analyst,Job board,59,1,0,0,0,0
C0026,R3,Marketing Associate,LinkedIn,74,1,1,1,0,0
C0027,R2,Data Analyst,LinkedIn,79,1,1,0,0,0
C0028,R2,Data Analyst,Careers page,61,1,1,1,1,1
C0029,R4,HR Specialist,Job board,43,1,1,0,0,0
C0030,R1,Marketing Associate,Job board,59,1,0,0,0,0
C0031,R5,Software Engineer,LinkedIn,77,1,1,1,1,0
C0032,R5,HR Specialist,Job board,52,1,1,0,0,0
C0033,R3,HR Specialist,Job board,79,1,1,1,0,0
